Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,LowerFishtail,53,129350.24,1454589.9,1453677.98,-2.4199555201454,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,6.12905021006055,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,Body,26,6684.77,1454589.9,1453677.98,-5.38264747962988,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,DenseFeathers,20,25956.24,1454589.9,1453677.98,-4.02606724107353,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,LowerEyeSpots,297,354602.75,1454589.9,1453677.98,-1.41148113537953,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,LowerFishtail,0,129350.24,1454589.9,1453677.98,-2.4199555201454,5.89440283426485,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,Leg,20,13503.73,1454589.9,1453677.98,-4.67951334062883,5.89440283426485,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,DenseFeathers,73,25956.24,1454589.9,1453677.98,-4.02606724107353,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,LowerEyeSpots,126,354602.75,1454589.9,1453677.98,-1.41148113537953,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,LowerFishtail,72,129350.24,1454589.9,1453677.98,-2.4199555201454,5.95842469302978,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,Leg,116,13503.73,1454589.9,1453677.98,-4.67951334062883,5.95842469302978,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,Body,25,6684.77,1454589.9,1453677.98,-5.38264747962988,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,Scales,59,4049.94,1454589.9,1453677.98,-5.88377721801282,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,DenseFeathers,70,25956.24,1454589.9,1453677.98,-4.02606724107353,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,LowerEyeSpots,1270,354602.75,1454589.9,1453677.98,-1.41148113537953,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,UpperEyeSpots,133,619179.94,1454589.9,1453677.98,-0.854083359096807,7.68570306123455,53,Directed
