Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleImageFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,BrownWingBrownBody,44,117666.78,354653,339001.92,-1.10328311521892,5.6937321388027,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,BrownTail,15,35573.02,354653,339001.92,-2.29955236129199,5.6937321388027,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,Leg,82,61304.72,354653,339001.92,-1.75528300830982,5.99645208861902,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,5.99645208861902,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,GreenNeck,24,65266.26,354653,339001.92,-1.69266463609536,5.99645208861902,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,HeadCrest,48,15651.08,354653,339001.92,-3.12059992246667,5.99645208861902,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,BrownWingBrownBody,67,117666.78,354653,339001.92,-1.10328311521892,5.99645208861902,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,BrownTail,181,35573.02,354653,339001.92,-2.29955236129199,5.99645208861902,53,Directed
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,53,NonDirected
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.26267987704132,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,WhiteChest,20,59191.14,354653,339001.92,-1.79036797812915,4.26267987704132,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,4.26267987704132,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,HeadCrest,21,15651.08,354653,339001.92,-3.12059992246667,4.26267987704132,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,BrownWingBrownBody,30,117666.78,354653,339001.92,-1.10328311521892,4.26267987704132,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.26267987704132,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.45434729625351,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,4.45434729625351,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,GreenNeck,7,65266.26,354653,339001.92,-1.69266463609536,4.45434729625351,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,HeadCrest,23,15651.08,354653,339001.92,-3.12059992246667,4.45434729625351,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,BrownWingBrownBody,38,117666.78,354653,339001.92,-1.10328311521892,4.45434729625351,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,BrownTail,18,35573.02,354653,339001.92,-2.29955236129199,4.45434729625351,53,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,Directed
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,NonDirected
04-08-13_No75_124333,1849,1070,202,57,0,0,811,779,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,Directed
04-08-13_No75_124333,1849,1070,202,57,0,0,811,779,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,Directed
04-08-13_No75_124333,1849,1070,202,57,0,0,811,779,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,Directed
04-08-13_No75_124333,1849,1070,202,57,0,0,811,779,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,Directed
04-08-13_No75_124333,1849,1070,202,57,0,0,811,779,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,Directed
04-08-13_No75_124333,1849,1070,202,57,0,0,811,779,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,Directed
04-08-13_No75_128118,4793,3324,933,0,464,0,1927,1469,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,6.13988455222626,61,Directed
04-08-13_No75_128118,4793,3324,933,0,464,0,1927,1469,75,L,WhiteChest,124,59191.14,354653,339001.92,-1.79036797812915,6.13988455222626,61,Directed
04-08-13_No75_128118,4793,3324,933,0,464,0,1927,1469,75,L,GreenNeck,103,65266.26,354653,339001.92,-1.69266463609536,6.13988455222626,61,Directed
04-08-13_No75_128118,4793,3324,933,0,464,0,1927,1469,75,L,HeadCrest,23,15651.08,354653,339001.92,-3.12059992246667,6.13988455222626,61,Directed
04-08-13_No75_128118,4793,3324,933,0,464,0,1927,1469,75,L,BrownWingBrownBody,202,117666.78,354653,339001.92,-1.10328311521892,6.13988455222626,61,Directed
04-08-13_No75_128118,4793,3324,933,0,464,0,1927,1469,75,L,BrownTail,12,35573.02,354653,339001.92,-2.29955236129199,6.13988455222626,61,Directed
04-08-13_No75_133966,991,828,169,0,108,0,551,163,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.68213122712422,61,Directed
04-08-13_No75_133966,991,828,169,0,108,0,551,163,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,4.68213122712422,61,Directed
04-08-13_No75_133966,991,828,169,0,108,0,551,163,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,4.68213122712422,61,Directed
04-08-13_No75_133966,991,828,169,0,108,0,551,163,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,4.68213122712422,61,Directed
04-08-13_No75_133966,991,828,169,0,108,0,551,163,75,L,BrownWingBrownBody,108,117666.78,354653,339001.92,-1.10328311521892,4.68213122712422,61,Directed
04-08-13_No75_133966,991,828,169,0,108,0,551,163,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.68213122712422,61,Directed
04-08-13_No75_153026,462,395,336,0,0,0,59,67,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,NonDirected
04-08-13_No75_153026,462,395,336,0,0,0,59,67,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,NonDirected
04-08-13_No75_153026,462,395,336,0,0,0,59,67,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,NonDirected
04-08-13_No75_153026,462,395,336,0,0,0,59,67,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,NonDirected
04-08-13_No75_153026,462,395,336,0,0,0,59,67,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,NonDirected
04-08-13_No75_153026,462,395,336,0,0,0,59,67,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,NonDirected
04-08-13_No75_167609,466,397,295,0,0,0,102,69,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,Directed
04-08-13_No75_167609,466,397,295,0,0,0,102,69,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,Directed
04-08-13_No75_167609,466,397,295,0,0,0,102,69,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,Directed
04-08-13_No75_167609,466,397,295,0,0,0,102,69,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,Directed
04-08-13_No75_167609,466,397,295,0,0,0,102,69,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,Directed
04-08-13_No75_167609,466,397,295,0,0,0,102,69,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,Directed
04-08-13_No75_172772,1166,959,665,0,0,0,294,207,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,NonDirected
04-08-13_No75_172772,1166,959,665,0,0,0,294,207,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,NonDirected
04-08-13_No75_172772,1166,959,665,0,0,0,294,207,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,NonDirected
04-08-13_No75_172772,1166,959,665,0,0,0,294,207,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,NonDirected
04-08-13_No75_172772,1166,959,665,0,0,0,294,207,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,NonDirected
04-08-13_No75_172772,1166,959,665,0,0,0,294,207,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,NonDirected
04-08-13_No75_175538,1389,1179,482,0,0,0,697,210,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,Directed
04-08-13_No75_175538,1389,1179,482,0,0,0,697,210,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,Directed
04-08-13_No75_175538,1389,1179,482,0,0,0,697,210,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,Directed
04-08-13_No75_175538,1389,1179,482,0,0,0,697,210,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,Directed
04-08-13_No75_175538,1389,1179,482,0,0,0,697,210,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,Directed
04-08-13_No75_175538,1389,1179,482,0,0,0,697,210,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,Directed
04-08-13_No75_180540,3449,2847,1390,82,0,0,1375,602,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,NonDirected
04-08-13_No75_180540,3449,2847,1390,82,0,0,1375,602,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,NonDirected
04-08-13_No75_180540,3449,2847,1390,82,0,0,1375,602,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,NonDirected
04-08-13_No75_180540,3449,2847,1390,82,0,0,1375,602,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,NonDirected
04-08-13_No75_180540,3449,2847,1390,82,0,0,1375,602,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,NonDirected
04-08-13_No75_180540,3449,2847,1390,82,0,0,1375,602,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,NonDirected
04-08-13_No75_193249,497,348,238,0,0,0,110,149,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,Directed
04-08-13_No75_193249,497,348,238,0,0,0,110,149,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,Directed
04-08-13_No75_193249,497,348,238,0,0,0,110,149,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,Directed
04-08-13_No75_193249,497,348,238,0,0,0,110,149,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,Directed
04-08-13_No75_193249,497,348,238,0,0,0,110,149,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,Directed
04-08-13_No75_193249,497,348,238,0,0,0,110,149,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,Directed
04-08-13_No75_208497,2277,1805,710,0,421,0,674,472,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,6.04263283368238,61,Directed
04-08-13_No75_208497,2277,1805,710,0,421,0,674,472,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,6.04263283368238,61,Directed
04-08-13_No75_208497,2277,1805,710,0,421,0,674,472,75,L,GreenNeck,116,65266.26,354653,339001.92,-1.69266463609536,6.04263283368238,61,Directed
04-08-13_No75_208497,2277,1805,710,0,421,0,674,472,75,L,HeadCrest,95,15651.08,354653,339001.92,-3.12059992246667,6.04263283368238,61,Directed
04-08-13_No75_208497,2277,1805,710,0,421,0,674,472,75,L,BrownWingBrownBody,210,117666.78,354653,339001.92,-1.10328311521892,6.04263283368238,61,Directed
04-08-13_No75_208497,2277,1805,710,0,421,0,674,472,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,6.04263283368238,61,Directed
04-08-13_No75_65177,4653,3660,1373,25,229,0,2033,993,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,5.43372200355424,61,Directed
04-08-13_No75_65177,4653,3660,1373,25,229,0,2033,993,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,5.43372200355424,61,Directed
04-08-13_No75_65177,4653,3660,1373,25,229,0,2033,993,75,L,GreenNeck,25,65266.26,354653,339001.92,-1.69266463609536,5.43372200355424,61,Directed
04-08-13_No75_65177,4653,3660,1373,25,229,0,2033,993,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,5.43372200355424,61,Directed
04-08-13_No75_65177,4653,3660,1373,25,229,0,2033,993,75,L,BrownWingBrownBody,26,117666.78,354653,339001.92,-1.10328311521892,5.43372200355424,61,Directed
04-08-13_No75_65177,4653,3660,1373,25,229,0,2033,993,75,L,BrownTail,178,35573.02,354653,339001.92,-2.29955236129199,5.43372200355424,61,Directed
04-08-13_No75_74807,304,250,162,0,0,0,88,54,75,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,,61,Directed
04-08-13_No75_74807,304,250,162,0,0,0,88,54,75,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,,61,Directed
04-08-13_No75_74807,304,250,162,0,0,0,88,54,75,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,,61,Directed
04-08-13_No75_74807,304,250,162,0,0,0,88,54,75,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,,61,Directed
04-08-13_No75_74807,304,250,162,0,0,0,88,54,75,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,,61,Directed
04-08-13_No75_74807,304,250,162,0,0,0,88,54,75,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,,61,Directed
